 XL XR ZL ZR AGE MULT TRT 
 15 24  1 24   1   13   1 
 15 24  1 24   2    6   1 
 16 24  1 24   1   15   1 
 16 24  1 24   2   16   1 
 17 24  1 24   1    9   1 
 17 24  1 24   2    1   1 
 18 24  1 24   1    1   1 
  1  5 23 24   1    2   1  
  1 15 23 24   1    7   1 
  1 15 23 24   2    2   1 
  5 11 23 24   2    1   1  
  7 10 23 24   1    1   1  
  8 13 23 24   1    1   1  
  9 14 23 24   1    1   1  
 10 12 23 24   1    1   1 
 11 14 23 24   1    2   1  
 12 13 23 24   1    4   1  
 14 15 23 24   1    4   1  
  1 12 23 24   1    1   1  
  1 11 23 24   1    2   1  
  1 16 23 24   1    1   1  
  1 16 23 24   2    3   1  
  6 13 23 24   2    1   1  
  8 16 23 24   2    1   1  
  9 12 23 24   2    1   1  
 10 15 23 24   2    1   1  
 11 14 23 24   2    2   1  
 11 16 23 24   2    1   1 
 12 14 23 24   1    1   1  
 14 16 23 24   2    1   1  
  1 13 23 24   2    1   1  
  1 17 23 24   1    1   1  
  3 10 23 24   1    1   1  
  6  8 23 24   1    1   1  
  8 12 23 24   1    1   1  
  9 14 23 24   2    2   1  
 10 16 23 24   1    1   1  
 11 15 23 24   2    1   1  
 12 14 23 24   2    3   1  
 13 15 23 24   1    3   1  
 15 16 23 24   2    3   1  
  1 12 23 24   2    2   1   
  1 14 23 24   1    1   1  
  1 18 23 24   1    1   1  
  4 11 23 24   2    1   1 
  7 12 23 24   1    1   1  
  8 15 23 24   1    1   1  
  9 13 23 24   1    1   1  
 10 12 23 24   2    1   1  
 11 12 23 24   2    2   1  
 12 15 23 24   2    1   1  
 13 14 23 24   1    4   1  
 15 16 23 24   1    2   1  
  1  3  8  8   1    1   1  
 10 11 20 20   1    1   1  
  6 13 21 21   2    1   1  
 13 13 22 22   1    1   1  
  1 12 15 15   1    1   1  
 11 12 20 20   1    1   1  
  8 16 21 21   2    1   1  
 12 13 23 23   2    1   1  
  6 12 16 16   1    1   1  
 13 14 20 20   2    1   1  
 10 12 21 21   1    1   1 
  7 13 17 17   2    1   1  
  3 16 21 21   2    1   1  
 13 15 22 22   1    1   1 
 15 24  1 24   1    2   2 
 17 24  1 24   1    1   2 
 16 24  1 24   2    2   2 
 16 24  1 24   1    1   2 
 17 24  1 24   2    2   2 
  1  6 23 24   1    1   2 
  1 13 23 24   2    1   2 
  5  7 23 24   2    1   2 
  7  9 23 24   1    1   2 
  8 15 23 24   2    1   2 
 10 11 23 24   2    3   2 
 11 13 23 24   2    1   2 
 12 14 23 24   1    1   2 
 13 16 23 24   1    1   2 
 15 16 23 24   1    4   2 
  1  7 23 24   1    1   2 
  1 13 23 24   1    1   2 
  5  7 23 24   1    1   2 
  7 10 23 24   1    1   2 
  9 10 23 24   1    2   2 
 10 12 23 24   1    2   2 
 11 13 23 24   1    3   2 
 12 14 23 24   2    1   2  
 14 15 23 24   2    2   2 
 15 16 23 24   2    1   2 
  1 11 23 24   1    1   2 
  1 14 23 24   1    3   2 
  3 14 23 24   1    1   2 
  7 15 23 24   1    1   2 
  9 12 23 24   1    3   2 
 10 15 23 24   1    1   2 
 12 13 23 24   1    6   2 
 13 15 23 24   1    2   2 
 14 15 23 24   1    6   2 
  1 12 23 24   1    2   2 
  1 15 23 24   1    2   2 
  3 15 23 24   2    1   2 
  8 10 23 24   1    1   2 
 10 11 23 24   1    4   2 
 11 12 23 24   1    1   2 
 12 13 23 24   2    1   2 
 13 15 23 24   2    1   2 
 14 16 23 24   1    2   2 
  1 10 11 11   1    1   2 
  3  7 17 17   1    1   2 
  8 10 15 15   1    1   2 
  9 13 18 18   1    1   2 
 10 12 16 16   2    1   2 
 12 13 20 20   1    1   2 
 13 14 21 21   1    1   2 
  1  7 13 13   1    1   2 
  5  7 12 12   1    1   2 
  9 13 15 15   1    1   2 
  9 12 22 22   1    1   2 
 10 14 16 16   2    1   2 
 13 14 18 18   1    1   2 
 14 15 23 23   2    1   2 
  1  7 16 16   2    1   2 
  5  8 13 13   1    1   2 
  9 11 18 18   2    1   2 
 10 11 15 15   1    1   2 
 10 12 17 17   1    1   2 
 13 15 18 18   1    2   2 
  1 15 21 21   1    1   2 
  7  9 19 19   1    1   2 
  9 12 18 18   1    1   2 
 10 11 16 16   1    1   2 
 10 12 23 23   1    1   2 
 13 14 20 20   1    1   2 
